,Large Growth,Large Value,Small Growth,Small Value,MLPs,REITs,Foreign Growth,Foreign Value,Emerging Markets,High Yield,ST Inv Grade,Int Inv Grade,LT Inv Grade,TIPS,ST Treasury,Int Treasury,LT Treasury
,VIGRX,VIVAX,VISGX,VISVX,AMLP,VGISX,VWIGX,VTRIX,VEIEX,VWEHX,VFSTX,VFICX,VWESX,VIPSX,VFISX,VFITX,VUSTX
,Vanguard Index Trust Growth Index Fund,Vanguard Index Trust Value Index Fund,Vanguard Index Trust Small-Cap Growth Index Fund,Vanguard Index Trust Small-Cap Value Index Fund,Alerian MLP ETF,Virtus Duff & Phelps Global Real Estate Securities Fund I,Vanguard International Growth Fund,Vanguard International Value Fund,Vanguard Emerging Markets Stock Index Fund,Vanguard High Yield Corporate Fund,Vanguard Short-Term Investment Grade Fund Investor Shrs,Vanguard Intermediate-Term Investment Grade Fund Investor Shrs,Vanguard Long-Term Investment Grade Fund Investor Shrs,Vanguard Inflation Protected Securities Fund,Vanguard Short-Term Treasury Fund,Vanguard Intermediate-Term Treasury Fund,Vanguard Long-Term Treasury Fund
9/05/90,,,,,,,0,0.23713112,,0,0.09660721,,0.2604127,,,,0.33296347
9/06/90,,,,,,,-0.43252707,-0.9124696,,-0.293684,0,,0.25974512,,,,0.22124052
9/07/90,,,,,,,0.2606392,-0.30695796,,0,0.09652376,,0.5181432,,,,0.33112764
9/10/90,,,,,,,1.0398626,0.5815983,,0,0,,-0.25773644,,,,-0.4400432
9/11/90,,,,,,,-1.2006819,-0.7142842,,-0.14727116,0,,-0.12919307,,,,0.22099018
9/12/90,,,,,,,1.5625,1.0962605,,0,0,,0.12936592,,,,0
9/13/90,,,,,,,0.08547306,0.4744172,,-0.14749765,0.096428394,,-0.12919307,,,,-0.11024475
9/14/90,,,,,,,-0.8539736,-0.7419884,,-0.4431367,-0.09633899,,-0.25873184,,,,-0.44150352
9/17/90,,,,,,,-0.51679015,-0.5096853,,-0.44509768,0,,-0.5188048,,,,-0.33259988
9/18/90,,,,,,,-1.8181801,-1.1953592,,-0.29806495,0,,0,,,,0.11123419
9/19/90,,,,,,,-0.8818388,-1.1061192,,-0.14948249,-0.096434355,,0.2607584,,,,0.22222996
9/20/90,,,,,,,-2.0462573,-1.9923091,,-0.14969707,0,,-0.13003945,,,,-0.22173524
9/21/90,,,,,,,-0.18165708,-0.74893236,,-0.44977665,-0.0965178,,-0.6510377,,,,-0.77777505
9/24/90,,,,,,,-0.9099126,-0.25152564,,-0.9036124,-0.09661913,,-0.5242467,,,,-0.4479289
9/25/90,,,,,,,-1.9283772,-1.765126,,-1.5197575,-0.0967145,,0.2635002,,,,0.33745766
9/26/90,,,,,,,-1.4045,-0.25669336,,0,0.096809864,,0,,,,0.112104416
9/27/90,,,,,,,-0.47483444,-0.14706254,,-0.15432239,0.0967145,,0.3942132,,,,0.8958578
9/28/90,,,,,,,-2.194655,-1.8580437,,-2.0092666,0.19322634,,0.5235553,,,,0.7769108
10/01/90,,,,,,,2.0487785,1.476717,,0.31545162,0.096428394,,0.9114623,,,,1.101327
10/02/90,,,,,,,4.8757195,2.8731346,,0.47169924,0,,0.12903214,,,,0
10/03/90,,,,,,,0.8204222,0.5440712,,0,0.09634495,,0,,,,-0.10893345
10/04/90,,,,,,,-0.18083453,-0.07214546,,-0.31298995,0,,0.12886524,,,,0.4361987
10/05/90,,,,,,,0.90579987,0.79422,,-0.47095418,0.09623766,,0.38610697,,,,0.21715164
10/08/90,,,,,,,2.5134683,2.4713516,,-0.31545758,0,,-0.38461685,,,,-0.32502413
10/09/90,,,,,,,-0.8756578,-0.5941987,,-0.31645298,-0.19230247,,-1.158303,,,,-1.5217304
10/10/90,,,,,,,-0.26501417,-0.59775114,,-0.15873313,-0.09633899,,-0.39061904,,,,-0.5518794
10/11/90,,,,,,,-1.0628879,-0.10612011,,-0.95389485,-0.096434355,,-0.7843137,,,,-0.44395328
10/12/90,,,,,,,0.17905235,0,,-0.48154593,0.09652376,,0.65876245,,,,0.7803798
10/15/90,,,,,,,0.7149339,0.28328896,,-0.16128421,0,,0.3926754,,,,0.44248104
10/16/90,,,,,,,1.3309598,0.24716854,,-0.3230989,0,,-0.2607584,,,,0
10/17/90,,,,,,,0.35026073,0,,-0.16207695,0,,0.2614379,,,,0.33038855
10/18/90,,,,,,,1.2216449,1.1976004,,-0.4870057,0.096428394,,0.5215168,,,,0.6586194
10/19/90,,,,,,,0.6896496,0.17403364,,0,0.09634495,,0.38909912,,,,0.87240934
10/22/90,,,,,,,0.17123222,0,,-0.16313791,0,,0,,,,-0.108110905
10/23/90,,,,,,,0.5982995,0.76441765,,0.32680035,0,,0,,,,-0.21644235
10/24/90,,,,,,,0.6796956,0.4482746,,0,0,,-0.25839806,,,,-0.10846257
10/25/90,,,,,,,-0.42194128,-0.4462719,,0.32572746,0,,0.38859844,,,,0.4343152
10/26/90,,,,,,,-1.5254259,-1.1034489,,0.32467842,0,,-0.1290381,,,,-0.21622181
10/29/90,,,,,,,-0.17211437,-0.4532814,,-0.16180873,0,,-0.5167961,,,,-0.65004826
10/30/90,,,,,,,-0.51724315,-0.31523705,,-0.16207695,-0.09624958,,-0.38960576,,,,0
10/31/90,,,,,,,-0.60658455,-0.035130978,,-0.32467246,0.09634495,,0,,,,0.4361987
11/01/90,,,,,,,-1.3077617,-0.9490371,,-0.32573342,0.19248724,,0.6518841,,,,0.8686185
11/02/90,,,,,,,0.9717345,0.283885,,-0.3267944,-0.096064806,,0,,,,0
11/05/90,,,,,,,1.1373639,0.990808,,0,0.09615421,,0.38859844,,,,0.645864
11/06/90,,,,,,,-1.3840914,-0.6306946,,0,0,,0.12903214,,,,0
11/07/90,,,,,,,-0.9649098,-0.9873092,,-0.16393065,-0.096064806,,-0.3866017,,,,-0.6417155
11/08/90,,,,,,,-1.4171839,-0.9971559,,-0.16420484,0,,-0.25873184,,,,-0.32292604
11/09/90,,,,,,,-0.3593862,0.14388561,,0,0.19230843,,0.64851046,,,,1.079905
11/12/90,,,,,,,1.0820508,0.8261442,,0.16447306,0,,0.6443262,,,,0.7478714
