Date,GSCI Energy,GSCI Ind Metals,GSCI Precious Metals,GSCI Agriculture,GSCI Livestock
19910715,480.2465,506.982,421.1062,713.1824,3015.949
19910716,482.8755,508.9334,421.0349,723.9668,3023.975
19910717,491.6194,509.8487,422.4287,727.7354,3009.717
19910718,487.4462,506.2693,422.3454,722.8708,3013.043
19910719,494.3749,510.2746,422.4953,718.8649,3006.679
19910722,490.6335,507.3841,419.2678,731.9134,3012.032
19910723,481.1809,505.0494,418.9212,751.7267,3008.173
19910724,485.6907,501.906,411.4177,740.4478,3022.313
19910725,484.9613,501.8875,412.0702,742.7727,3019.457
19910726,485.7759,506.7082,414.1337,752.7987,3001.149
19910729,482.229,504.048,411.6802,762.8327,2997.109
19910730,485.7222,503.4254,410.0027,762.485,2991.208
19910731,494.1693,506.7018,411.674,771.0973,2993.628
19910801,487.5266,504.6233,410.6824,781.9847,2982.953
19910802,491.6696,503.9801,401.4189,787.1244,2945.995
19910805,495.7131,503.8819,401.8867,769.4457,2937.651
19910806,491.3712,503.9501,403.0478,765.2835,2914.696
19910807,491.615,510.5953,402.9626,758.025,2871.436
19910808,498.9925,509.5602,401.9436,757.1386,2830.997
19910809,501.9863,509.9385,404.0223,753.2394,2848.239
19910812,503.9222,505.3281,403.5677,752.1458,2858.881
19910813,499.93,505.6378,401.5049,749.4334,2887.338
19910814,494.5962,503.7973,402.2662,738.323,2897.959
19910815,499.3084,502.0473,400.3365,745.0999,2893.05
19910816,498.4339,498.2358,402.4292,741.9083,2929.93
19910819,523.1428,497.4648,403.9544,717.6351,2944.427
19910820,527.2084,496.1895,400.5157,713.3408,2948.671
19910821,506.0588,498.9252,400.924,744.9082,2948.232
19910822,510.3837,500.1086,396.9815,756.4442,2977.386
19910823,510.283,501.2951,396.3816,754.7651,2969.752
19910826,511.5495,502.2074,398.4386,768.4858,2940.381
19910827,511.1792,505.0303,396.9642,763.5666,2935.853
19910828,506.1915,506.506,397.8168,764.9914,2891.389
19910829,511.5376,506.4879,393.8599,760.7034,2880.891
19910830,517.0658,507.6554,391.4851,768.9651,2900.517
19910902,517.0658,507.6554,391.4851,768.9651,2900.517
19910903,515.5068,507.2563,393.3193,771.5149,2887.453
19910904,505.7827,504.5485,393.6112,773.797,2906.544
19910905,502.0815,506.2251,391.2796,775.9667,2955.762
19910906,499.5115,513.3992,395.4649,772.7227,2984.76
19910909,494.8872,509.8114,397.8176,774.2374,2978.498
19910910,495.5029,511.707,395.8816,771.4123,2980.94
19910911,499.6157,508.3919,390.8771,777.2673,2974.777
19910912,497.3168,504.4127,390.3113,782.1283,2980.57
19910913,501.0448,505.5826,390.8586,781.4546,2979.348
19910916,502.984,500.6378,391.5182,785.012,2981.087
19910917,496.7974,493.9021,394.4868,787.67,2974.468
19910918,502.321,499.1222,396.6278,793.4661,3001.814
19910919,500.6253,495.5679,396.2851,786.8574,3053.859
19910920,503.9218,499.6439,396.5405,784.027,3055.207
19910923,511.1387,496.1964,399.4444,776.6669,3035.836
19910924,512.5405,496.2574,402.9069,780.7311,3051.165
19910925,514.3079,500.9492,401.6749,778.9934,3051.897
19910926,512.8149,496.8805,398.0695,775.5782,3063.611
19910927,516.7564,497.3245,396.1391,778.073,3057.516
19910930,514.5588,491.0284,401.5973,777.5742,3032.896
19911001,512.8703,488.7528,402.2653,787.6788,3029.942
19911002,516.5425,486.5749,403.2398,787.4246,3011.068
19911003,524.5898,488.0348,405.5957,781.6345,3003.703
19911004,522.7743,484.2509,406.451,787.6791,3035.47
19911007,531.0301,481.2037,406.7055,787.4609,3034.388
19911008,533.1488,486.2026,404.3285,784.28,3023.458
19911009,536.4748,482.7962,407.3816,781.2926,3015.672
19911010,531.8948,480.7507,406.5053,780.1274,3018.15
19911011,532.9504,484.5369,409.8151,779.6364,3016.349
19911014,541.6755,479.4163,407.9594,776.0567,3008.326
19911015,546.7709,480.8689,406.0804,776.9122,2993.816
19911016,543.3209,510.4103,407.1704,783.8816,3027.003
19911017,550.1075,499.7189,409.0026,786.339,3014.88
19911018,555.2502,500.4998,411.3255,791.4216,2999.333
19911021,557.7228,498.7465,413.1421,788.8819,2985.913
19911022,552.0764,500.182,412.6288,800.5217,2982.758
19911023,541.9656,497.0934,410.1865,800.5968,2963.987
19911024,549.9793,496.7504,410.1775,802.3477,2958.411
19911025,542.1896,496.4783,408.819,795.0486,2937.806
19911028,544.2406,493.8782,406.1633,791.1997,2931.278
19911029,543.8791,495.6809,407.3245,798.1547,2895.344
19911030,544.9618,495.3825,406.9017,793.5581,2906.741
19911031,548.576,494.5318,406.0879,797.664,2888.067
